sl no,work,status,year,garam,work type,Total
28,ಇಂಗು ಗುಂಡಿ ನಿರ್ಮಾಣ,Completed,2009-2010,Gram Panchayat,Drought Proofing,0.48544
,(1504009014/DP/917860),,,,,
29,4*6 ಅಳತೆಯ ಬ್ಯಾಗಿನ ಸಸಿಗಳು,Completed,2009-2010,Gram Panchayat,Drought Proofing,1.08755
,(1504009014/DP/99793),,,,,
30,1504009014/FP/355,Completed,2008-2009,Gram Panchayat,Flood Control and Protection,0.3365
,(1504009014/FP/355),,,,,
31,1504009014/FP/565,Completed,2008-2009,Gram Panchayat,Flood Control and Protection,0.98416
,(1504009014/FP/565),,,,,
32,ನರಸಾಪೂರ ಗ್ರಾಮದ ದ್ಯಾಮವನ ಗುಡಿಯಿಂದ ಭರಮಪ್ಪನ ಗುಡಿ ವರೆಗೆ,Completed,2009-2010,Gram Panchayat,Flood Control and Protection,0.98677
,(1504009014/FP/851411),,,,,
33,ಚೀಲಮೂರ ಗ್ರಾಮದ ನಾಮದೇವ ಕಲ್ಲೇಶನವರ ಮನೆಯಿಂದ ಗುಡ್ಡದ ನೀರು,Completed,2010-2011,Gram Panchayat,Flood Control and Protection,5.75295
,(1504009014/FP/9209908457),,,,,
34,ಮುರಡಿ ದವಾಖಾನೆಯಿಂದ ರಾಚಪ್ಪ ಹಳ್ಳಿ ಇವರ ಮನೆಯವರೆಗೆ ಚರಂಡಿ ನಿರ್ಮಾಣ ಮೆಲೆ ಹೋದಿಕೆ,Completed,2015-2016,Gram Panchayat,Flood Control and Protection,7.41006
,(1504009014/FP/93393042891923617),,,,,
35,ಚಿಲಮೂರ ಗ್ರಾಮದ ಅಂಗಡಿ ಇವರ ಮನೆಯಿಂದ ಹನುಮಂತ ಮಲ್ಲೂರ ಮನೆಯವರಗೆ ಗಟಾರ ನಿರ್ಮಾನ,Completed,2016-2017,Gram Panchayat,Flood Control and Protection,2.95783
,(1504009014/FP/93393042892015458),,,,,
36,ಚಿಲಮೂರ ಗ್ರಾಮದ ಜೀವಕ್ಕ ಮೂಗನೂರ ಮನೆಯಿಂದ ಯಲ್ಲಪ್ಪ ಮ ರೊಟ್ಟಿ ಮನೆಯವರಗೆ ಗಟಾರ ನಿರ್ಮಾನ,Completed,2016-2017,Gram Panchayat,Flood Control and Protection,2.9049
,(1504009014/FP/93393042892015459),,,,,
37,ಚಿಲಮೂರ ಗ್ರಾಮದ ಆದನೆ ಯಲ್ಲಮ್ಮನ ಗುಡಿಯಿಂದ ಸಿದ್ದಪ್ಪ ಪಾಂ.ಹುಚಕೆಂಚನ್ನವರ ಇವರ ಮನೆ ವರಗೆ ಗಟಾರ ನಿರ್ಮಾಣ,Completed,2016-2017,Gram Panchayat,Flood Control and Protection,2.97323
,(1504009014/FP/93393042892016098),,,,,
38,ಚಿಲಮೂ ಗ್ರಾಮದ ಹಳ್ಳದಿಂದ ರಾಯಪ್ಪ ಸಿ ಹುಚಕೆಂಚನ್ನವರ ಮನೆಯವರಿಗೆ ಗಟಾರ ನಿರ್ಮಾಣ,Completed,2016-2017,Gram Panchayat,Flood Control and Protection,2.98047
,(1504009014/FP/93393042892016488),,,,,
39,ಚಿಲಮೂರ ಗ್ರಾಮದಲ್ಲಿ ಸಿದ್ದಪ್ಪ ಪಾಂ ಹುಚಕೆಂಚನ್ನವರ ಮನೆಯಿಂದ ಬೀರದೇವರ ಗುಡಿಯವರಗೆ ಗಟಾರ ನಿರ್ಮಾಣ,Completed,2016-2017,Gram Panchayat,Flood Control and Protection,2.85211
,(1504009014/FP/93393042892018253),,,,,
40,ನರಸಾಪೂರ ಗ್ರಾಮದಲ್ಲಿ ಬಸಪ್ಪ ಮಾದರ ಇವರ ಮನೆಯಿಂದ ಬಸಪ್ಪ ನೇಸರಗಿ ಇವರ ಮನೆಯವರಗೆ ಚರಂಡಿ ನಿರ್ಮಾಣ,Completed,2017-2018,Gram Panchayat,Flood Control and Protection,4.91708
,(1504009014/FP/93393042892035223),,,,,
41,ಚಿಲಮೂರ ಗ್ರಾಮದಲ್ಲಿ ಸೊಸೈಟಿಯಿಂದ ಭೀಮಪ್ಪ ರೊಟ್ಟಿ ಇವರ ಮನೆಯವರಗೆ ಚರಂಡಿ ನಿರ್ಮಾಣ,Completed,2017-2018,Gram Panchayat,Flood Control and Protection,4.81655
,(1504009014/FP/93393042892035315),,,,,
42,ಚಿಲಮೂರ ಗ್ರಾಮದಲ್ಲಿ ಬಸಪ್ಪ ಯರಗಟ್ಟಿ ಇವರ ಮನೆಯಿಂದ ಯಲ್ಲಮ್ಮ ಗುಡಿವರಗೆ ಚರಂಡಿ ನಿರ್ಮಾಣ,Completed,2017-2018,Gram Panchayat,Flood Control and Protection,4.73273
,(1504009014/FP/93393042892035316),,,,,
43,ಚಿಲಮೂರ ಗ್ರಾಮದಲ್ಲಿ ಮಾರುತಿ ಹುಚಕೆಂಚನ್ನವರ ಮನೆಯಿಂದ ಬಸಪ್ಪ ಯರಗಟ್ಟಿ ಇವರ ಮನೆವರೆಗೆ ಚರಂಡಿ ನಿರ್ಮಾಣ,Suspended,2018-2019,Gram Panchayat,Flood Control and Protection,2.04947
,(1504009014/FP/93393042892171600),,,,,
44,ಕಲ್ಲೋಳೆಪ್ಪ ಯಮನಪ್ಪ ಭಜಂತ್ರಿ ಇವರ ಮನೆಯಿಂದ ದ್ಯಾಮಣ್ಣ ಬಸನಾಯ್ಕ ನಾಯ್ಕರ ಮನೆಯವರೆಗೆ ಒಳಚರಂಡಿ ನಿರ್ಮಾಣ,Suspended,2018-2019,Gram Panchayat,Flood Control and Protection,0
,(1504009014/FP/93393042892171896),,,,,
45,ಬಸಪ್ಪ ಅಯ್ಯಪ್ಪ ಬಾಣಿ ಇವರ ಮನೆಯಿಂದ ಲಕ್ಷ್ಮಣ ಯಮನಪ್ಪ ಭಜಂತ್ರಿ ಇವರ ಮನೆಯವರೆಗೆ ಒಳಚರಂಡಿ ಮೇಲೆ ಹೊದಿಕೆ ಹಾಕುವದು.,Suspended,2018-2019,Gram Panchayat,Flood Control and Protection,0
,(1504009014/FP/93393042892171898),,,,,
46,ನಿಂಗಪ್ಪ ಪೂಜೇರ ಮನೆಯಿಂದ ಮುಖ್ಯ ರಸ್ತೆವರೆಗೆ ಒಳಚರಂಡಿ ನಿರ್ಮಾಣ,New,2018-2019,Gram Panchayat,Flood Control and Protection,0
,(1504009014/FP/93393042892171899),,,,,
47,ನರಸಾಫೂರ ಗ್ರಾಮದ ಮುಖ್ಯ ರಸ್ತೆಯಿಂದ ಲಕ್ಷ್ಮಣ ಉಳ್ಳಿಗೇರಿ ಇವರ ಮನೆಯವರೆಗೆ ಒಚರಂಡಿ ನಿರ್ಮಾಣ,Suspended,2018-2019,Gram Panchayat,Flood Control and Protection,0
,(1504009014/FP/93393042892172701),,,,,
48,ನರಸಾಫೂರ ಗ್ರಾಮದ ಬಸಪ್ಪ ಮಾ ದಳವಾಯಿ ಇವರ ಮನೆಯಿಂದ ಫಕೀರಪ್ಪ ಪರಮಗೋಂಡ ಮನೆಯವರೆಗೆ ಒಚರಂಡಿ ಹಾಗು ಹೊದಿಕೆ ನಿರ್ಮಾಣ,New,2018-2019,Gram Panchayat,Flood Control and Protection,0
,(1504009014/FP/93393042892172702),,,,,
49,ನರಸಾಫೂರ ಗ್ರಾಮದಫಕೀರಪ್ಪ ಪರಮಗೋಂಡ ಮನೆಯಿಂದ ನಿಂಗಪ್ಪ ಹಳೆತೊರಗಲ್ ಜಮೀನದವರೆ ಒಳಚರಂಡಿ ಹಾಗು ಹೊದಿಕೆ ನಿರ್ಮಾಣ,New,2018-2019,Gram Panchayat,Flood Control and Protection,0
,(1504009014/FP/93393042892172703),,,,,
50,ನರಸಾಪೂರ ಗ್ರಾಮದ ಕಣವಿ ಬಸವೇಶ್ವರ ನಗರದಲ್ಲಿ ಚರಂಡಿ ನಿರ್ಮಾಣ,Completed,2018-2019,Gram Panchayat,Flood Control and Protection,4.94052
