sl no,work,status,year,garam,work type,Total
,(1504009014/FP/93393042892227350),,,,,
77,ನರಸಾಪೂರ ಗ್ರಾಮದ ಕೆ.ಎಮ್.ಎಫ್ ಹಾಲಿನ್ ಡೈರಿಯಿಂದ ಈರಯ್ಯಾ ಮಾ ಹಿರೇಮಠ ಇವರ ಮನೆಯವರಗೆ ಚರಂಡಿ ನಿರ್ಮಾಣ,New,2019-2020,Gram Panchayat,Flood Control and Protection,0
,(1504009014/FP/93393042892227897),,,,,
78,ನರಸಾಪೂರ ಗ್ರಾಮದ ಶ್ರೀಶೈಲ ಮಲ್ಲಿಕಾರ್ಜುಣ ಅಂಗಡಿ ಮನೆಯಿಂದ ತಿಪ್ಪಣ್ಣ ಬಾ ಮುನವಳ್ಳಿ ಇವರ ಮನೆಯವರೆಗೆ ಚರಂಡಿ ನಿರ್ಮಾಣ,New,2019-2020,Gram Panchayat,Flood Control and Protection,0
,(1504009014/FP/93393042892227901),,,,,
79,ಚಿಲಮೂರ ಗ್ರಾಮದ ಅಂಗನವಾಡಿ ಯಿಂದ ಮಲ್ಲಪ್ಪ ರೊಟ್ಟಿ ಮನೆಯವರೆಗೆ ಚರಂಡಿ ನಿರ್ಮಾಣ,Approved,2019-2020,Gram Panchayat,Flood Control and Protection,0
,(1504009014/FP/93393042892230757),,,,,
80,ಲಕ್ಷ್ಮೀ ನಗರದ ಕಲ್ಲಪ್ಪ ತೂತಗಡಗಿ ಇವರ ಮನೆಯಿಂದ ಲಕ್ಷ್ಮಣ ಉಪ್ಪಾರ ಮನೆಯವರೆಗೆ ಚರಂಡಿ ನಿರ್ಮಾಣ,New,2019-2020,Gram Panchayat,Flood Control and Protection,0
,(1504009014/FP/93393042892231213),,,,,
81,ಲಕ್ಷ್ಮೀ ನಗರದ ಸಿದ್ದಪ್ಪ ಿಂಚಲ ಮನೆಯಿಂದ ಹಳ್ಳದವರೆಗೆ ಚರಂಡಿ ನಿರ್ಮಾಣ,New,2019-2020,Gram Panchayat,Flood Control and Protection,0
,(1504009014/FP/93393042892231214),,,,,
82,ಲಕ್ಷ್ಮೀನಗರದ ಬಸಪ್ಪ ಉಪ್ಪಾರ ಮನೆಯಿಂದ ಬಸಪ್ಪ ತೂತಗಡಗಿ ಮನೆವರೆಗೆ ಚರಂಡಿ ನಿರ್ಮಾಣ,New,2019-2020,Gram Panchayat,Flood Control and Protection,0
,(1504009014/FP/93393042892231215),,,,,
83,ಎಸ್.ಸಿ ಸ್ಮಶಾನ ರಸ್ತೆಯಿಂದ ಭೀಮಪ್ಪ ಮಾದರ ಇವರ ಮನೆಯವರೆಗೆ ಚರಂಡಿ ನಿರ್ಮಾಣ,New,2019-2020,Gram Panchayat,Flood Control and Protection,0
,(1504009014/FP/93393042892231351),,,,,
84,ಚಿಲಮೂರ ಗ್ರಾಮದ ಫಕೀರಪ್ಪ ತುಂಬಗೋನಿಯವರ ಮನೆಯಿಂದ ಅಯ್ಯಪ್ಪಸ್ವಾಮಿ ಮಠದ ವರೆಗೆ ಚರಂಡಿ ನಿರ್ಮಾಣ,New,2019-2020,Gram Panchayat,Flood Control and Protection,0
,(1504009014/FP/93393042892231557),,,,,
85,ಚಿಲಮೂರ ಗ್ರಾಮದ ನಿಂಗಾಪೂರ ರಸ್ತೆಯಿಂದ ಹಳ್ಳದವರೆಗೆ ಚರಂಡಿ ನಿರ್ಮಾಣ,New,2019-2020,Gram Panchayat,Flood Control and Protection,0
,(1504009014/FP/93393042892231558),,,,,
